configuration,category,recall@1,recall@3,recall@5,mrr
150w_30o,adversarial_misleading,0.25,0.625,0.625,0.483
150w_30o,conditional,0.65,0.75,0.75,0.81
150w_30o,direct_answerable,0.267,0.6,0.667,0.45
150w_30o,multi_hop,0.25,0.55,0.633,0.683
150w_30o,partially_answerable,0.487,0.72,0.753,0.838
150w_30o,temporal,0.0,0.5,0.5,0.321
250w_40o,adversarial_misleading,0.5,0.625,0.625,0.661
250w_40o,conditional,0.55,0.6,0.75,0.733
250w_40o,direct_answerable,0.4,0.6,0.8,0.542
250w_40o,multi_hop,0.333,0.517,0.7,0.798
250w_40o,partially_answerable,0.367,0.703,0.807,0.737
250w_40o,temporal,0.0,0.5,0.5,0.333
350w_50o,adversarial_misleading,0.5,0.625,0.875,0.675
350w_50o,conditional,0.55,0.65,0.75,0.737
350w_50o,direct_answerable,0.533,0.667,0.867,0.646
350w_50o,multi_hop,0.333,0.467,0.7,0.793
350w_50o,partially_answerable,0.267,0.757,0.807,0.691
350w_50o,temporal,0.5,0.5,1.0,0.625
