method,category,recall@1,recall@3,recall@5,mrr
BGE,adversarial_misleading,0.5,0.75,0.75,0.6666666666666666
BGE,conditional,0.7,0.9,0.95,0.9
BGE,direct_answerable,0.5333333333333333,0.6,0.6666666666666666,0.6329365079365079
BGE,multi_hop,0.33333333333333337,0.65,0.7833333333333333,0.825
BGE,partially_answerable,0.5866666666666667,0.7933333333333333,0.8633333333333333,0.95
BGE,temporal,1.0,1.0,1.0,1.0
BGE + reranker,adversarial_misleading,0.5,0.875,0.875,0.7083333333333333
BGE + reranker,conditional,0.7,0.85,0.95,0.8833333333333334
BGE + reranker,direct_answerable,0.5333333333333333,0.6,0.6666666666666666,0.6235185185185185
BGE + reranker,multi_hop,0.4166666666666667,0.5666666666666667,0.5666666666666667,0.9142857142857143
BGE + reranker,partially_answerable,0.5866666666666667,0.6733333333333333,0.6933333333333334,0.9166666666666666
BGE + reranker,temporal,0.0,1.0,1.0,0.41666666666666663
TF-IDF,adversarial_misleading,0.5,0.625,0.875,0.675
TF-IDF,conditional,0.55,0.65,0.75,0.7373611111111111
TF-IDF,direct_answerable,0.5333333333333333,0.6666666666666666,0.8666666666666667,0.6464529914529914
TF-IDF,multi_hop,0.33333333333333337,0.4666666666666667,0.7,0.7933333333333333
TF-IDF,partially_answerable,0.26666666666666666,0.7566666666666666,0.8066666666666666,0.691025641025641
TF-IDF,temporal,0.5,0.5,1.0,0.625
