question_id,baseline_question,baseline_category,baseline_gold_sources,baseline_recall@1,baseline_recall@3,baseline_recall@5,baseline_mrr,baseline_top5_sources,baseline_top5_chunk_ids,baseline_unique_sources@5,mmr_recall@1,mmr_recall@3,mmr_recall@5,mmr_mrr,mmr_top5_sources,mmr_top5_chunk_ids,mmr_unique_sources@5,delta_recall@1,delta_recall@3,delta_recall@5,delta_mrr,delta_unique_sources@5
Q1,Who can buy an HDB flat under the couples and families routes described by HDB?,direct_answerable,HDB01,1.0,1.0,1.0,1.0,"HDB01, HDB02, HDB01, HDB01, HDB01","HDB01:009:000, HDB02:000:000, HDB01:000:000, HDB01:001:000, HDB01:025:000",2,1.0,1.0,1.0,1.0,"HDB01, HDB01, HDB01, HDB07, HDB02","HDB01:009:000, HDB01:025:000, HDB01:000:000, HDB07:002:000, HDB02:000:000",3,0.0,0.0,0.0,0.0,1
Q2,Can a single person buy an HDB flat alone under HDB's singles route?,direct_answerable,HDB02,0.0,0.0,0.0,0.14285714285714285,"HDB03, HDB04, HDB03, HDB01, HDB01","HDB03:000:000, HDB04:000:000, HDB03:002:003, HDB01:013:002, HDB01:025:000",3,0.0,0.0,0.0,0.14285714285714285,"HDB03, HDB04, HDB01, HDB01, HDB03","HDB03:000:000, HDB04:000:000, HDB01:025:000, HDB01:013:002, HDB03:002:003",3,0.0,0.0,0.0,0.0,0
Q3,What CPF Housing Grant may a first-timer single receive when buying a resale flat?,direct_answerable,HDB03,1.0,1.0,1.0,1.0,"HDB03, HDB06, HDB04, HDB02, HDB02","HDB03:000:000, HDB06:000:000, HDB04:000:000, HDB02:007:006, HDB02:002:006",4,1.0,1.0,1.0,1.0,"HDB03, HDB06, HDB04, HDB02, HDB02","HDB03:000:000, HDB06:000:000, HDB04:000:000, HDB02:007:006, HDB02:002:006",4,0.0,0.0,0.0,0.0,0
Q4,What CPF housing grants are described for families buying resale flats?,direct_answerable,HDB06,0.0,1.0,1.0,0.5,"HDB02, HDB06, HDB07, HDB02, HDB05","HDB02:002:006, HDB06:000:000, HDB07:000:000, HDB02:007:006, HDB05:000:000",4,0.0,1.0,1.0,0.5,"HDB02, HDB06, HDB07, HDB02, HDB05","HDB02:002:006, HDB06:000:000, HDB07:000:000, HDB02:007:006, HDB05:000:000",4,0.0,0.0,0.0,0.0,0
Q5,Who is the Step-Up CPF Housing Grant intended for?,direct_answerable,HDB07,1.0,1.0,1.0,1.0,"HDB07, HDB07, HDB02, HDB07, HDB06","HDB07:000:000, HDB07:005:000, HDB02:002:006, HDB07:002:003, HDB06:000:000",3,1.0,1.0,1.0,1.0,"HDB07, HDB07, HDB02, CPF02, HDB07","HDB07:000:000, HDB07:005:000, HDB02:002:006, CPF02:001:000, HDB07:002:003",3,0.0,0.0,0.0,0.0,0
Q6,"What household income ceilings apply to an HDB housing loan for families, extended families and singles?",direct_answerable,HDB08,0.0,0.0,0.0,0.14285714285714285,"HDB06, HDB01, HDB01, HDB01, HDB05","HDB06:002:000, HDB01:001:000, HDB01:020:000, HDB01:009:000, HDB05:002:000",3,0.0,1.0,1.0,0.3333333333333333,"HDB06, HDB01, HDB08, HDB05, HDB01","HDB06:002:000, HDB01:001:000, HDB08:000:000, HDB05:002:000, HDB01:009:000",4,0.0,1.0,1.0,0.19047619047619047,1
Q7,What kinds of upfront payments should buyers consider when budgeting for a flat?,direct_answerable,HDB09,1.0,1.0,1.0,1.0,"HDB09, HDB09, HDB01, HDB02, HDB02","HDB09:002:000, HDB09:000:001, HDB01:031:002, HDB02:010:002, HDB02:005:002",3,1.0,1.0,1.0,1.0,"HDB09, HDB09, HDB01, HDB02, HDB09","HDB09:002:000, HDB09:000:001, HDB01:031:002, HDB02:010:002, HDB09:001:000",3,0.0,0.0,0.0,0.0,0
Q8,Where does HDB direct buyers to look for current and upcoming new-flat sales exercises?,direct_answerable,HDB10,1.0,1.0,1.0,1.0,"HDB10, HDB11, HDB08, HDB10, HDB09","HDB10:000:000, HDB11:000:000, HDB08:007:001, HDB10:000:002, HDB09:000:001",4,1.0,1.0,1.0,1.0,"HDB10, HDB11, HDB08, HDB10, HDB01","HDB10:000:000, HDB11:000:000, HDB08:007:001, HDB10:000:002, HDB01:025:000",4,0.0,0.0,0.0,0.0,0
Q9,What are the main stages in HDB's resale-flat buying process?,direct_answerable,HDB11,1.0,1.0,1.0,1.0,"HDB11, HDB12, HDB09, HDB08, HDB10","HDB11:000:000, HDB12:002:000, HDB09:000:001, HDB08:007:001, HDB10:000:002",5,1.0,1.0,1.0,1.0,"HDB11, HDB09, HDB12, HDB08, HDB10","HDB11:000:000, HDB09:000:001, HDB12:002:000, HDB08:007:001, HDB10:000:002",5,0.0,0.0,0.0,0.0,0
Q10,How long is the Option to Purchase valid after it is granted for a resale flat?,direct_answerable,HDB12,0.0,0.0,0.0,0.125,"HDB02, HDB02, HDB01, HDB01, HDB01","HDB02:004:001, HDB02:009:001, HDB01:004:001, HDB01:012:001, HDB01:018:001",2,0.0,1.0,1.0,0.3333333333333333,"HDB02, HDB08, HDB12, HDB02, HDB01","HDB02:004:001, HDB08:003:001, HDB12:010:000, HDB02:009:001, HDB01:004:001",4,0.0,1.0,1.0,0.20833333333333331,2
