configuration,question_id,category,question,gold_sources,mrr,first_relevant_rank,top5_sources,top5_chunk_ids,recall@1,recall@3,recall@5
350w_50o,Q1,direct_answerable,Who can buy an HDB flat under the couples and families routes described by HDB?,HDB01,1.0,1,"HDB01, HDB07, HDB07, HDB02, HDB05","HDB01:025:000, HDB07:002:000, HDB07:002:004, HDB02:000:000, HDB05:002:000",1.0,1.0,1.0
350w_50o,Q2,direct_answerable,Can a single person buy an HDB flat alone under HDB's singles route?,HDB02,1.0,1,"HDB02, HDB04, HDB02, HDB06, HDB01","HDB02:007:005, HDB04:000:000, HDB02:005:002, HDB06:000:000, HDB01:028:006",1.0,1.0,1.0
350w_50o,Q3,direct_answerable,What CPF Housing Grant may a first-timer single receive when buying a resale flat?,HDB03,0.3333333333333333,3,"HDB04, HDB04, HDB03, HDB05, HDB04","HDB04:000:000, HDB04:002:003, HDB03:000:000, HDB05:000:000, HDB04:002:000",0.0,1.0,1.0
350w_50o,Q4,direct_answerable,What CPF housing grants are described for families buying resale flats?,HDB06,0.125,8,"HDB01, HDB01, HDB05, HDB01, HDB01","HDB01:010:006, HDB01:031:002, HDB05:000:000, HDB01:016:006, HDB01:013:002",0.0,0.0,0.0
350w_50o,Q5,direct_answerable,Who is the Step-Up CPF Housing Grant intended for?,HDB07,1.0,1,"HDB07, HDB07, HDB07, HDB01, HDB01","HDB07:005:000, HDB07:002:003, HDB07:000:000, HDB01:010:006, HDB01:002:006",1.0,1.0,1.0
350w_50o,Q6,direct_answerable,"What household income ceilings apply to an HDB housing loan for families, extended families and singles?",HDB08,1.0,1,"HDB08, HDB08, HDB06, HDB03, HDB01","HDB08:000:000, HDB08:000:004, HDB06:002:005, HDB03:002:000, HDB01:010:006",1.0,1.0,1.0
350w_50o,Q7,direct_answerable,What kinds of upfront payments should buyers consider when budgeting for a flat?,HDB09,0.25,4,"CPF03, CPF02, CPF02, HDB09, CPF02","CPF03:000:000, CPF02:002:000, CPF02:005:000, HDB09:000:001, CPF02:000:001",0.0,0.0,1.0
350w_50o,Q8,direct_answerable,Where does HDB direct buyers to look for current and upcoming new-flat sales exercises?,HDB10,1.0,1,"HDB10, HDB12, HDB02, HDB08, HDB01","HDB10:000:000, HDB12:000:000, HDB02:002:006, HDB08:003:001, HDB01:028:001",1.0,1.0,1.0
350w_50o,Q9,direct_answerable,What are the main stages in HDB's resale-flat buying process?,HDB11,0.5,2,"HDB12, HDB11, CPF04, CPF04, HDB09","HDB12:010:000, HDB11:000:000, CPF04:003:000, CPF04:006:000, HDB09:000:001",0.0,1.0,1.0
350w_50o,Q10,direct_answerable,How long is the Option to Purchase valid after it is granted for a resale flat?,HDB12,1.0,1,"HDB12, HDB12, CPF07, HDB04, HDB10","HDB12:002:000, HDB12:004:000, CPF07:000:000, HDB04:007:000, HDB10:000:002",1.0,1.0,1.0
