method,category,recall@1,recall@3,recall@5,mrr
MMR λ=0.5,adversarial_misleading,0.5,0.625,0.625,0.625
MMR λ=0.5,conditional,0.7,0.75,0.8,0.8416666666666666
MMR λ=0.5,direct_answerable,0.5333333333333333,0.6,0.8666666666666667,0.6445238095238095
MMR λ=0.5,multi_hop,0.33333333333333337,0.4833333333333333,0.5666666666666667,0.7708333333333333
MMR λ=0.5,partially_answerable,0.5866666666666667,0.7233333333333334,0.89,0.9199999999999999
MMR λ=0.5,temporal,1.0,1.0,1.0,1.0
MMR λ=0.6,adversarial_misleading,0.5,0.625,0.625,0.625
MMR λ=0.6,conditional,0.7,0.8,0.85,0.85
MMR λ=0.6,direct_answerable,0.5333333333333333,0.6666666666666666,0.8666666666666667,0.6500793650793651
MMR λ=0.6,multi_hop,0.33333333333333337,0.5333333333333333,0.5666666666666667,0.7708333333333333
MMR λ=0.6,partially_answerable,0.5866666666666667,0.8233333333333333,0.9099999999999999,0.9333333333333333
MMR λ=0.6,temporal,1.0,1.0,1.0,1.0
MMR λ=0.7,adversarial_misleading,0.5,0.5,0.75,0.5777777777777777
MMR λ=0.7,conditional,0.7,0.8,0.85,0.85
MMR λ=0.7,direct_answerable,0.5333333333333333,0.6666666666666666,0.8666666666666667,0.6645238095238095
MMR λ=0.7,multi_hop,0.33333333333333337,0.5666666666666667,0.7,0.8142857142857143
MMR λ=0.7,partially_answerable,0.5866666666666667,0.8433333333333334,0.8766666666666666,0.95
MMR λ=0.7,temporal,1.0,1.0,1.0,1.0
MMR λ=0.8,adversarial_misleading,0.5,0.75,0.875,0.6458333333333333
MMR λ=0.8,conditional,0.7,0.8,0.85,0.85
MMR λ=0.8,direct_answerable,0.5333333333333333,0.7333333333333333,0.8,0.6641269841269841
MMR λ=0.8,multi_hop,0.33333333333333337,0.6,0.7833333333333333,0.82
MMR λ=0.8,partially_answerable,0.5866666666666667,0.7933333333333333,0.8766666666666666,0.95
MMR λ=0.8,temporal,1.0,1.0,1.0,1.0
MMR λ=0.9,adversarial_misleading,0.5,0.875,0.875,0.7083333333333333
MMR λ=0.9,conditional,0.7,0.8,0.95,0.875
MMR λ=0.9,direct_answerable,0.5333333333333333,0.7333333333333333,0.8666666666666667,0.6568253968253969
MMR λ=0.9,multi_hop,0.33333333333333337,0.6333333333333333,0.7833333333333333,0.8333333333333334
MMR λ=0.9,partially_answerable,0.5866666666666667,0.7933333333333333,0.8766666666666666,0.95
MMR λ=0.9,temporal,1.0,1.0,1.0,1.0
Similarity top-5,adversarial_misleading,0.5,0.75,0.75,0.6666666666666666
Similarity top-5,conditional,0.7,0.9,0.95,0.9
Similarity top-5,direct_answerable,0.5333333333333333,0.6,0.6666666666666666,0.6329365079365079
Similarity top-5,multi_hop,0.33333333333333337,0.65,0.7833333333333333,0.825
Similarity top-5,partially_answerable,0.5866666666666667,0.7933333333333333,0.8633333333333333,0.95
Similarity top-5,temporal,1.0,1.0,1.0,1.0
