method,question_id,category,question,gold_sources,mrr,first_relevant_rank,candidate_recall@20,unique_sources@5,duplicate_fraction@5,max_source_share@5,top5_sources,top5_chunk_ids,top20_sources,recall@1,recall@3,recall@5,missing_gold_at_5,missing_gold_available_at_20,diversification_candidate,error_type
TF-IDF,Q1,direct_answerable,Who can buy an HDB flat under the couples and families routes described by HDB?,HDB01,1.0,1,1.0,4,0.19999999999999996,0.4,"HDB01, HDB07, HDB07, HDB02, HDB05","HDB01:025:000, HDB07:002:000, HDB07:002:004, HDB02:000:000, HDB05:002:000","HDB01, HDB07, HDB07, HDB02, HDB05, HDB01, HDB06, HDB06, HDB06, HDB01, HDB01, HDB05, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01, HDB02, HDB08",1.0,1.0,1.0,,,False,success
TF-IDF,Q2,direct_answerable,Can a single person buy an HDB flat alone under HDB's singles route?,HDB02,1.0,1,1.0,4,0.19999999999999996,0.4,"HDB02, HDB04, HDB02, HDB06, HDB01","HDB02:007:005, HDB04:000:000, HDB02:005:002, HDB06:000:000, HDB01:028:006","HDB02, HDB04, HDB02, HDB06, HDB01, HDB03, HDB01, HDB02, HDB04, HDB01, HDB03, HDB03, HDB02, HDB08, HDB02, HDB06, HDB03, HDB03, HDB01, HDB02",1.0,1.0,1.0,,,False,success
TF-IDF,Q3,direct_answerable,What CPF Housing Grant may a first-timer single receive when buying a resale flat?,HDB03,0.3333333333333333,3,1.0,3,0.4,0.6,"HDB04, HDB04, HDB03, HDB05, HDB04","HDB04:000:000, HDB04:002:003, HDB03:000:000, HDB05:000:000, HDB04:002:000","HDB04, HDB04, HDB03, HDB05, HDB04, HDB03, HDB06, HDB06, HDB03, HDB04, HDB07, HDB01, HDB06, HDB06, HDB02, HDB02, HDB06, HDB01, HDB02, HDB01",0.0,1.0,1.0,,,False,success
TF-IDF,Q4,direct_answerable,What CPF housing grants are described for families buying resale flats?,HDB06,0.125,8,1.0,2,0.6,0.8,"HDB01, HDB01, HDB05, HDB01, HDB01","HDB01:010:006, HDB01:031:002, HDB05:000:000, HDB01:016:006, HDB01:013:002","HDB01, HDB01, HDB05, HDB01, HDB01, HDB01, HDB01, HDB06, HDB01, HDB01, HDB01, HDB02, HDB01, HDB07, HDB02, HDB02, HDB02, HDB04, CPF02, CPF02",0.0,0.0,0.0,HDB06,HDB06,True,duplicate_crowding
TF-IDF,Q5,direct_answerable,Who is the Step-Up CPF Housing Grant intended for?,HDB07,1.0,1,1.0,2,0.6,0.6,"HDB07, HDB07, HDB07, HDB01, HDB01","HDB07:005:000, HDB07:002:003, HDB07:000:000, HDB01:010:006, HDB01:002:006","HDB07, HDB07, HDB07, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01, HDB01, HDB02, HDB02, HDB02, HDB06, HDB01, HDB01, HDB06, HDB06, HDB01, HDB02",1.0,1.0,1.0,,,False,success
TF-IDF,Q6,direct_answerable,"What household income ceilings apply to an HDB housing loan for families, extended families and singles?",HDB08,1.0,1,1.0,4,0.19999999999999996,0.4,"HDB08, HDB08, HDB06, HDB03, HDB01","HDB08:000:000, HDB08:000:004, HDB06:002:005, HDB03:002:000, HDB01:010:006","HDB08, HDB08, HDB06, HDB03, HDB01, HDB06, HDB06, HDB01, HDB06, HDB01, HDB03, HDB05, HDB01, HDB01, HDB01, HDB05, HDB03, HDB04, HDB06, HDB05",1.0,1.0,1.0,,,False,success
TF-IDF,Q7,direct_answerable,What kinds of upfront payments should buyers consider when budgeting for a flat?,HDB09,0.25,4,1.0,3,0.4,0.6,"CPF03, CPF02, CPF02, HDB09, CPF02","CPF03:000:000, CPF02:002:000, CPF02:005:000, HDB09:000:001, CPF02:000:001","CPF03, CPF02, CPF02, HDB09, CPF02, HDB09, HDB01, HDB07, CPF01, HDB12, CPF03, CPF08, HDB01, HDB01, HDB01, HDB06, HDB03, HDB04, HDB05, HDB06",0.0,0.0,1.0,,,False,success
TF-IDF,Q8,direct_answerable,Where does HDB direct buyers to look for current and upcoming new-flat sales exercises?,HDB10,1.0,1,1.0,5,0.0,0.2,"HDB10, HDB12, HDB02, HDB08, HDB01","HDB10:000:000, HDB12:000:000, HDB02:002:006, HDB08:003:001, HDB01:028:001","HDB10, HDB12, HDB02, HDB08, HDB01, HDB05, HDB03, HDB04, HDB01, HDB02, HDB12, HDB01, HDB08, HDB01, HDB01, HDB01, HDB01, HDB02, HDB09, HDB08",1.0,1.0,1.0,,,False,success
TF-IDF,Q9,direct_answerable,What are the main stages in HDB's resale-flat buying process?,HDB11,0.5,2,1.0,4,0.19999999999999996,0.4,"HDB12, HDB11, CPF04, CPF04, HDB09","HDB12:010:000, HDB11:000:000, CPF04:003:000, CPF04:006:000, HDB09:000:001","HDB12, HDB11, CPF04, CPF04, HDB09, HDB01, HDB01, HDB01, HDB01, CPF02, CPF02, HDB02, HDB01, CPF02, HDB02, HDB01, HDB02, HDB07, HDB02, HDB01",0.0,1.0,1.0,,,False,success
TF-IDF,Q10,direct_answerable,How long is the Option to Purchase valid after it is granted for a resale flat?,HDB12,1.0,1,1.0,4,0.19999999999999996,0.4,"HDB12, HDB12, CPF07, HDB04, HDB10","HDB12:002:000, HDB12:004:000, CPF07:000:000, HDB04:007:000, HDB10:000:002","HDB12, HDB12, CPF07, HDB04, HDB10, HDB05, HDB04, HDB12, HDB12, HDB12, HDB01, HDB08, HDB01, HDB01, CPF08, CPF08, CPF01, HDB04, HDB05, CPF08",1.0,1.0,1.0,,,False,success
